Date,Open,Close,High,Low
2018-01-31 19:00:00,1.41920,1.41763,1.42122,1.41517
2018-01-31 20:00:00,1.41759,1.41987,1.42027,1.41745
2018-01-31 21:00:00,1.41988,1.41930,1.42041,1.41778
2018-01-31 22:00:00,1.41948,1.41981,1.42005,1.41872
2018-01-31 23:00:00,1.41981,1.41996,1.42051,1.41956
2018-02-01 00:00:00,1.41996,1.42051,1.42141,1.41974
2018-02-01 01:00:00,1.42050,1.42062,1.42130,1.41861
2018-02-01 02:00:00,1.42061,1.41966,1.42120,1.41959
2018-02-01 03:00:00,1.41966,1.41989,1.42045,1.41930
2018-02-01 04:00:00,1.41989,1.41942,1.42012,1.41889
2018-02-01 05:00:00,1.41942,1.41910,1.41984,1.41877
2018-02-01 06:00:00,1.41910,1.41714,1.41925,1.41629
2018-02-01 07:00:00,1.41712,1.41960,1.41999,1.41603
2018-02-01 08:00:00,1.41961,1.42494,1.42655,1.41958
2018-02-01 09:00:00,1.42495,1.42490,1.42751,1.42394
2018-02-01 10:00:00,1.42491,1.42316,1.42506,1.42314
2018-02-01 11:00:00,1.42315,1.42181,1.42459,1.42164
2018-02-01 12:00:00,1.42184,1.42210,1.42321,1.42026
2018-02-01 13:00:00,1.42210,1.42273,1.42380,1.42123
2018-02-01 14:00:00,1.42272,1.42072,1.42278,1.41901
2018-02-01 15:00:00,1.42064,1.42378,1.42522,1.41983
2018-02-01 16:00:00,1.42379,1.42448,1.42509,1.42238
2018-02-01 17:00:00,1.42448,1.42309,1.42627,1.42237
2018-02-01 18:00:00,1.42310,1.42538,1.42548,1.42287
2018-02-01 19:00:00,1.42538,1.42641,1.42711,1.42508
